Tf,Target
6720,10218
6269,5373
5120,5083
7029,6444
454,9887
3999,5629
5643,6226
6718,11379
2182,6737
2188,743
5013,6250
6720,4985
9408,8099
9408,5633
9408,5393
6374,5928
144,4447
4550,6737
5928,1391
629,2439
7947,2303
7316,7997
6720,5629
5058,2661
5704,6430
6410,5941
6410,6309
3785,5590
5769,8697
2255,6943
5081,6632
1938,5742
7947,4711
8066,5591
1669,6240
2500,6583
663,6583
8922,6583
1483,663
1483,6213
1483,5969
1483,4762
1483,332
1879,1872
9783,7460
146,9772
4825,5522
6034,4357
5258,7559
8028,6430
5013,852
9408,900
7490,7784
4364,4479
7857,5758
9974,6084
5119,1144
6307,7559
5807,5759
2440,6073
6718,6639
8467,389
8467,2223
2288,4335
5475,6888
144,5725
608,3849
449,3385
5757,4505
1483,5955
146,6521
6994,743
8467,4756
7738,5591
146,2226
8467,6829
9299,3385
663,1904
332,1904
2500,1904
8922,1904
4825,6720
146,6686
5694,6737
4825,7622
629,3540
11416,2314
9299,5542
144,4481
6727,2124
5422,6380
6718,7071
144,1981
4825,334
4711,7460
5013,5781
6251,6183
5759,5085
6718,4909
6718,10203
5775,3849
4550,9887
5822,6631
4941,1399
2182,9887
4468,8066
4468,1362
4468,4452
5643,5512
7997,5083
5643,5111
2239,6097
146,6421
629,5850
7759,4505
5643,2224
12549,6277
6523,6665
8922,5908
2500,5908
629,6642
663,5908
9787,8078
461,6240
3999,5148
3362,5218
449,5542
5058,2179
6415,3849
5807,6509
9408,5653
2212,6101
6644,4918
6660,3922
5807,5756
4941,5647
1726,2230
5847,5083
11416,8147
2212,7739
5475,2288
6403,1002
146,4489
6720,5148
146,5724
454,5591
8922,5193
2500,5193
4762,5193
1352,5193
663,5193
332,5193
2437,1480
4825,4364
2212,6006
2761,5633
629,5918
5422,4468
6191,6183
146,5601
11416,4849
4941,6081
8922,2119
9787,8637
5874,4270
5874,3999
2440,5510
4825,6465
1879,12549
6374,4951
7947,6890
7947,6695
7947,6585
629,709
6374,4487
5822,3861
5694,9887
6637,6097
4364,6913
2119,2500
6251,2661
5013,608
5013,1661
5013,6261
332,6082
1352,6082
663,6082
4762,6082
2500,6082
8922,6082
6213,6082
146,5028
6660,5638
1938,6101
5874,6430
1483,5912
4375,10339
852,5498
13053,3849
3999,8130
8467,5219
2440,1353
4468,2316
5013,7918
7857,7460
7385,6240
8467,6267
2106,3849
5603,5633
5603,8099
5603,5393
1879,3310
1938,7739
330,445
440,6277
6720,8130
5013,5587
629,4869
