gene,R_score
9904,1.1453216324133991e-07
15233,1.1425892284708865e-07
11519,1.1425561651759175e-07
10279,1.1410370204271469e-07
11305,1.138547319713218e-07
12063,1.1349187056651733e-07
10555,1.1327767997190226e-07
5307,1.1326530920863653e-07
1896,1.1255396417886532e-07
5136,1.1190769287740869e-07
1330,1.111130996126071e-07
9122,1.1010328819415433e-07
7117,1.1007582837777915e-07
15780,1.1002137867950011e-07
1949,1.094855338289635e-07
2374,1.0919367998538183e-07
9869,1.0855893275311424e-07
12148,1.0805159746486512e-07
16001,1.0802342805641485e-07
12632,1.079479742427647e-07
4306,1.0775554187423806e-07
11914,1.067663649370628e-07
4439,1.0591542488767766e-07
8361,1.0584627132952838e-07
6803,1.0559430562359131e-07
3260,1.0501918302921418e-07
8947,1.0383220335144741e-07
13227,1.0380212956974081e-07
6859,1.0327796790738837e-07
9512,1.0273708992562987e-07
9668,1.0268297727961058e-07
4312,1.0254706707810248e-07
7326,1.0233761537326495e-07
7146,1.0193351363842568e-07
13514,1.0189109955636476e-07
6053,1.015062982278597e-07
4024,1.011768211290729e-07
7797,1.0098868067793957e-07
1055,9.931811285077584e-08
15771,9.81854981447977e-08
13770,9.747967460151701e-08
3471,9.723666976525347e-08
14336,9.721233513785013e-08
5891,9.706820084093577e-08
15712,9.703526908327093e-08
9896,9.652645018715814e-08
6138,9.63333548401235e-08
6888,9.561278159730069e-08
11607,9.5334443120791e-08
11775,9.433262419385645e-08
16088,9.360522982462458e-08
15427,9.342472146974533e-08
12518,9.312917276636145e-08
1211,9.299504235325308e-08
762,9.27336386587444e-08
6618,9.265424103858671e-08
15970,9.138479222043823e-08
4482,9.137784654717251e-08
13826,9.082415970264534e-08
5548,9.007321778744992e-08
13037,8.999957674591418e-08
9182,8.897744730212221e-08
5165,8.865949110735992e-08
14910,8.865357091173362e-08
15200,8.825141284439114e-08
3440,8.76156589561444e-08
12850,8.691216378640426e-08
344,8.68362147336524e-08
15426,8.647243288844379e-08
14070,8.626534099671393e-08
13361,8.62196750162788e-08
3995,8.581641622426513e-08
11479,8.566867889498865e-08
10121,8.558283700022813e-08
17169,8.549571433620225e-08
3123,8.541049598589688e-08
3940,8.47658998307761e-08
3375,8.470616998102608e-08
4932,8.384487396874008e-08
1453,8.351380574254485e-08
12565,8.314336962869208e-08
8862,8.291605669847793e-08
15852,8.270576761915264e-08
10328,8.263116077847419e-08
904,8.260225141230076e-08
4835,8.253792679365694e-08
10844,8.248564404623284e-08
13764,8.187587972330819e-08
6021,8.143603507083943e-08
12813,8.128077975845644e-08
15879,8.102719146832255e-08
5910,8.07583058216961e-08
14429,8.04017084356305e-08
4819,8.004009501805916e-08
485,7.984401426269182e-08
17452,7.863324897227646e-08
695,7.849172832680604e-08
9794,7.835301361632389e-08
8784,7.827926421156935e-08
10221,7.802869737341413e-08
8127,7.799151041287779e-08
5105,7.780605352535644e-08
4893,7.765801486457901e-08
14080,7.75586180795346e-08
5604,7.744548766375285e-08
14473,7.732635719982185e-08
7656,7.714753634154778e-08
6664,7.698303646260152e-08
11013,7.664482440799082e-08
528,7.655174315201484e-08
5363,7.637881493823374e-08
16075,7.631540684790447e-08
4891,7.604719186275032e-08
16146,7.59823086983049e-08
16241,7.595824118197682e-08
16044,7.583397671243635e-08
7143,7.575454372406429e-08
6691,7.57253237273908e-08
16455,7.479643878768109e-08
8664,7.458053276110973e-08
10067,7.418351447094697e-08
8463,7.39761648549204e-08
7734,7.383439304880288e-08
5801,7.377814125891683e-08
7071,7.361628374402474e-08
4810,7.329023279503653e-08
743,7.293793026870864e-08
9365,7.28438815873071e-08
9100,7.283727766764035e-08
17142,7.26623869049351e-08
12551,7.253756541755747e-08
4751,7.24622265472846e-08
7113,7.241589319263174e-08
16436,7.20629959251899e-08
6066,7.198152914453826e-08
7079,7.19743480385649e-08
6301,7.186853974795382e-08
11965,7.138744806621196e-08
7142,7.12242836677168e-08
12931,7.084678350315047e-08
13545,7.077443822118669e-08
9107,7.076376815200416e-08
13190,7.072736739925982e-08
16655,7.065229984362958e-08
2567,7.046394849129756e-08
868,7.012760002238132e-08
901,6.987409243519105e-08
1463,6.986604370119097e-08
13328,6.968430973010475e-08
15182,6.947953864262922e-08
10150,6.93276082623335e-08
1375,6.911638767470462e-08
3660,6.908587371915583e-08
9953,6.907006153576307e-08
17130,6.883777951121843e-08
337,6.881894043729486e-08
8641,6.859032735251927e-08
