sample,Gene_count,UMI_count,EdU,Type,time,Main_cluster_name,UMAP_1,UMAP_2,Mouse_id,assay,Trajectory,Pseudotime,Trajectory_UMAP1,Trajectory_UMAP2
79,1573,4049,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.393270503,-0.47909668,EdU_29,RNA,Oligodendrogenesis trajectory,0.029618081,4.855598496,-1.839845436
2318,2090,6225,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.778821956,-0.891520708,EdU_33,RNA,Oligodendrogenesis trajectory,0.030717286,3.964522408,-3.657970565
2603,1151,2351,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.682312022,0.569316805,EdU_33,RNA,Oligodendrogenesis trajectory,0.033292919,5.27083926,-3.109954494
2264,1880,4928,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.988959323,-1.860637158,EdU_33,RNA,Oligodendrogenesis trajectory,0.034991887,4.936425732,-3.342042344
817,1419,3477,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-7.790070544,-0.546048075,EdU_31,RNA,Oligodendrogenesis trajectory,0.0356744,3.962411927,-3.037014859
827,4372,20157,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.234128009,-1.818100661,EdU_31,RNA,Oligodendrogenesis trajectory,0.037429574,3.508948372,-2.880358117
682,2148,10544,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.224115382,0.782232911,EdU_31,RNA,Oligodendrogenesis trajectory,0.03856238,4.674768017,-1.380654114
2495,1219,2575,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.14432336,1.19508949,EdU_33,RNA,Oligodendrogenesis trajectory,0.038563228,4.777021931,-1.279780882
2258,1556,3893,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.561438571,0.109007508,EdU_33,RNA,Oligodendrogenesis trajectory,0.03990277,3.857944535,-0.596326249
2226,1541,3341,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-8.511850368,-0.949320525,EdU_33,RNA,Oligodendrogenesis trajectory,0.041777465,2.147559212,-3.450772899
2669,1482,3436,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.49789239,-2.10368511,EdU_33,RNA,Oligodendrogenesis trajectory,0.042545616,-0.391435815,-1.239125031
2572,1070,2328,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-11.07919503,-1.926637381,EdU_33,RNA,Oligodendrogenesis trajectory,0.04254604,-0.773598506,-1.436286467
2569,1812,4546,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.44755365,-2.147629231,EdU_33,RNA,Oligodendrogenesis trajectory,0.042546252,-0.648220612,-1.141285675
2440,1361,3303,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-11.0886984,-1.904826372,EdU_33,RNA,Oligodendrogenesis trajectory,0.042546676,-0.592257692,-1.078474062
2278,1077,2528,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.99479104,-1.766972988,EdU_33,RNA,Oligodendrogenesis trajectory,0.042547312,-0.581698014,-1.169199365
2231,2239,6419,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-11.07444192,-2.109899252,EdU_33,RNA,Oligodendrogenesis trajectory,0.042547524,-0.380311085,-1.435493248
2208,2333,7217,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-10.70105649,-2.633383482,EdU_33,RNA,Oligodendrogenesis trajectory,0.042547736,-0.379836632,-1.776974338
2182,1631,3898,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-10.64650727,-2.143612593,EdU_33,RNA,Oligodendrogenesis trajectory,0.042547948,-0.18925996,-1.662899154
1085,1680,4600,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.669815074,0.877797455,EdU_29,RNA,Oligodendrogenesis trajectory,0.042554305,-0.816007508,-1.171050089
385,1218,2769,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.98358251,-1.858477324,EdU_31,RNA,Oligodendrogenesis trajectory,0.042555789,-1.001297607,-1.462629336
382,662,1304,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.94920446,-1.408171504,EdU_31,RNA,Oligodendrogenesis trajectory,0.042556001,-0.399952008,-0.7994466
2381,2056,5595,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.63968755,-2.234995097,EdU_33,RNA,Oligodendrogenesis trajectory,0.045456703,-0.464181615,-2.373278993
1058,2263,6650,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.747775088,-1.066423982,EdU_31,RNA,Oligodendrogenesis trajectory,0.045983019,1.10740094,-3.028304475
2534,902,1792,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.02153493,0.041229681,EdU_33,RNA,Oligodendrogenesis trajectory,0.046685657,5.584916161,-1.879174727
2179,1124,2445,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-9.246346484,0.291937884,EdU_33,RNA,Oligodendrogenesis trajectory,0.047191469,4.227321671,-0.875552254
169,972,1964,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-7.897994052,-0.317120224,EdU_31,RNA,Oligodendrogenesis trajectory,0.048959367,3.679086254,-2.803413289
2192,1454,3236,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-8.592180263,0.122958608,EdU_33,RNA,Oligodendrogenesis trajectory,0.050189034,4.50795369,-2.464697021
2458,968,2401,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.833873759,0.545721174,EdU_33,RNA,Oligodendrogenesis trajectory,0.051103899,3.030443238,-1.595353978
533,2002,5665,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.179435741,-0.061159283,EdU_31,RNA,Oligodendrogenesis trajectory,0.052226159,4.340626763,-0.824257033
81,2839,9802,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.346769343,-1.200703114,EdU_29,RNA,Oligodendrogenesis trajectory,0.053207869,2.209900902,-3.768541711
698,2956,9226,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.967038165,-1.261414498,EdU_31,RNA,Oligodendrogenesis trajectory,0.054933857,3.907580899,-3.124362367
996,2744,9668,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.27146531,-2.841196745,EdU_31,RNA,Oligodendrogenesis trajectory,0.056643351,0.369986342,-3.267797607
226,1141,2512,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.671545993,0.71906674,EdU_31,RNA,Oligodendrogenesis trajectory,0.05670231,4.503220604,-3.036946195
2273,1659,4361,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.07648374,-1.485740274,EdU_33,RNA,Oligodendrogenesis trajectory,0.057391255,0.326093243,-1.627081054
2230,2117,5858,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-8.298994075,-0.296576291,EdU_33,RNA,Oligodendrogenesis trajectory,0.060999573,2.372596787,-3.468553441
2451,1426,4063,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.246172916,-0.052807837,EdU_33,RNA,Oligodendrogenesis trajectory,0.062768498,3.812685536,-0.90917893
1001,1475,3721,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.814320575,-0.844298213,EdU_29,RNA,Oligodendrogenesis trajectory,0.063151718,1.044380473,-1.853231328
1028,1274,3167,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.462288867,1.060619921,EdU_29,RNA,Oligodendrogenesis trajectory,0.06315193,0.93343644,-2.021295684
2294,1159,2687,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.17647935,-1.585348099,EdU_33,RNA,Oligodendrogenesis trajectory,0.06315299,0.895039128,-2.131798165
2296,1625,4587,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.816727649,-1.817510575,EdU_33,RNA,Oligodendrogenesis trajectory,0.063153202,0.805260228,-2.040901559
1089,1597,4292,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.118094455,0.194551524,EdU_29,RNA,Oligodendrogenesis trajectory,0.063223312,4.701386498,-2.944238561
476,1108,2395,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.823905002,0.670297921,EdU_31,RNA,Oligodendrogenesis trajectory,0.064154595,5.009638356,-3.172698396
722,2661,9545,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.132946979,-0.520977825,EdU_31,RNA,Oligodendrogenesis trajectory,0.064579095,4.193816231,-3.506436961
2566,913,1753,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.03662015,0.607051105,EdU_33,RNA,Oligodendrogenesis trajectory,0.06518207,3.808320568,-0.940535503
2326,1231,3247,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.476530086,-2.09975931,EdU_33,RNA,Oligodendrogenesis trajectory,0.065353769,0.581779288,-1.841558951
1003,2548,13374,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.347943317,0.494799316,EdU_31,RNA,Oligodendrogenesis trajectory,0.065490914,5.457782792,-1.169904369
738,2530,8170,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.412424098,0.328383528,EdU_29,RNA,Oligodendrogenesis trajectory,0.066792493,5.79078822,-1.960446256
220,1719,4506,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.320865642,-1.664123624,EdU_31,RNA,Oligodendrogenesis trajectory,0.069277283,0.620097206,-2.256512778
2621,1180,2676,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.121926318,0.076764867,EdU_33,RNA,Oligodendrogenesis trajectory,0.070626564,3.455818222,-1.876496094
