TF,Target
6187,15875
13195,12792
6312,17475
13515,16955
9632,7617
10451,17227
14522,14204
4482,17193
6757,10126
854,12792
7759,15780
2567,1057
10539,15996
773,13303
7145,7637
617,854
16198,13319
17452,14204
6855,17396
4926,9106
13604,14612
7141,10399
15871,16955
5905,6588
11992,16502
7698,12415
3007,10983
6179,3260
11530,2586
14909,6802
3940,2543
12190,6802
5114,12190
7141,623
5600,1076
4137,14204
8694,9517
485,3903
13035,9517
7698,5142
4131,14800
7129,14145
10182,14420
2377,14145
12366,3852
661,12232
1447,12212
612,17131
7666,906
7486,4835
9756,11557
2567,7180
11534,9758
2615,12478
3480,14145
743,10276
5598,13432
16275,5498
7698,13742
9861,6547
15409,17689
9363,13432
14340,16487
10261,4810
11887,17304
7426,11557
8939,16565
774,10282
11341,4874
4000,6763
7486,3784
2674,9255
6176,3574
16009,9803
4534,1076
399,9110
854,5891
15160,6162
2374,4131
617,14342
8282,11774
12500,259
14909,15230
4926,900
6233,13769
6624,3482
2887,7955
3344,1885
773,8127
10451,15655
3997,745
17304,4926
8506,10282
8278,12729
6134,7955
5888,14652
14651,11739
14432,11723
15160,10282
16198,1351
10261,422
344,6187
10314,8514
12945,3457
3644,12500
11534,16491
11612,8375
617,13401
399,10276
9668,7637
14340,5898
17243,11557
15643,2408
5826,8441
7199,14807
13804,6832
778,13999
12765,10526
5979,9332
13195,14310
9744,13318
11612,13318
13287,5895
9283,8162
9283,8072
5826,9111
474,13617
532,5895
2272,5895
13302,13432
56,14807
13021,16502
13191,15725
1057,1076
12063,14204
3391,2543
531,14204
2378,8910
11965,13886
10617,7457
11604,3087
15374,12338
186,6538
715,9156
16275,7527
11559,1739
8172,16565
10617,4482
10867,3833
5898,1211
5114,10844
9861,11315
13302,17475
8130,11557
14651,8283
16502,1076
99,16565
3686,3586
9869,17425
9192,7268
5821,4482
6187,10440
17227,13886
16227,546
9831,10218
7759,8920
14407,2378
6052,16044
14723,2586
12850,15725
9629,8127
599,6132
17304,14003
3375,4940
5464,3493
7486,15409
1389,3391
13401,9517
13260,10276
7517,8862
6179,8879
8915,4131
14612,5891
3007,10528
13604,8689
4759,14145
2493,14145
5280,14145
8901,14145
4055,12667
3940,14204
15780,11315
5114,14420
9154,9517
3643,15725
11604,8157
